diff,speed,distance,acceleration,jerk,attack_type
6.0,0.00046122953410612024,30.017696380615234,0.00046122953410612024,0.00046122953410612024,1
6.0,0.00018956919373886287,30.01759910583496,0.00027166034036725734,0.0001895691937388629,1
6.0,6.111791891920114e-06,30.017560958862305,0.00018345740184694275,8.820293852031459e-05,1
6.0,1.1565537712932237e-06,30.017553329467773,4.9552381206268906e-06,0.00017850216372631585,1
6.0,8.042872928461218e-07,30.017547607421875,3.5226647844710195e-07,4.602971642179789e-06,1
6.0,2.2687258445306365e-07,30.017545700073242,5.774147083930582e-07,2.2514822994595624e-07,1
6.0,1.639701084028904e-07,30.017545700073242,6.290247605017325e-08,5.145122323428849e-07,1
15.0,0.5751063561889628,29.992067337036133,0.5751061922188544,0.5751061293163784,2
15.0,1.3727707017666912,29.777311325073242,0.7976643455777285,0.22255815335887408,2
15.0,1.7796277801303433,29.456642150878906,0.40685707836365204,0.39080726721407644,2
15.0,2.103654021654237,29.065593719482422,0.3240262415238939,0.08283083683975812,2
15.0,2.3982130928884557,28.61295509338379,0.29455907123421854,0.029467170289675382,2
15.0,2.666838736330674,28.104394912719727,0.2686256434422183,0.025933427792000252,2
15.0,2.913959097126167,27.544536590576172,0.24712036079549282,0.021505282646725465,2
15.0,3.14175127531659,26.937467575073242,0.2277921781904233,0.01932818260506952,2
15.0,3.154180795739946,26.3065242767334,0.012429520423355989,0.2153626577670673,2
15.0,3.1435009387786135,25.67767333984375,0.010679856961332668,0.001749663462023321,2
15.0,3.3814503362034865,25.03856086730957,0.23794939742487298,0.2272695404635403,2
15.0,3.794762011271086,24.315052032470703,0.41331167506759936,0.17536227764272638,2
15.0,4.08780305678091,23.52448844909668,0.293041045509824,0.12027062955777534,2
15.0,4.341878278301916,22.68037986755371,0.25407522152100626,0.03896582398881776,2
15.0,4.578461423688515,21.787694931030273,0.2365831453865992,0.017492076134407064,2
15.0,4.803445691566417,20.84923553466797,0.22498426787790216,0.011598877508697036,2
15.0,5.018814544019229,19.867094039916992,0.21536885245281123,0.009615415425090923,2
15.0,5.252006159401779,18.84318733215332,0.23319161538254995,0.017822762929738722,2
15.0,5.449021740122502,17.780345916748047,0.19701558072072345,0.036176034661826506,2
15.0,5.505711981106669,16.688350677490234,0.05669024098416653,0.14032533973655692,2
15.0,5.485570596616235,15.598991394042969,0.0201413844904339,0.03654885649373263,2
15.0,5.465447298976654,14.51420783996582,0.02012329763958043,1.8086850853471503e-05,3
15.000000953674316,5.774812436349229,13.395267486572266,0.3093651373725743,0.2892418397329939,3
14.999999046325684,5.975459118511588,12.229491233825684,0.20064668216235937,0.10871845521021495,3
15.0,6.1613525547936945,11.02690315246582,0.18589343628210653,0.014753245880252841,3
15.0,6.342828677122706,9.789541244506836,0.18147612232901178,0.004417313953094748,3
15.0,6.520612309937818,8.519279479980469,0.1777836328151121,0.003692489513899666,3
14.999999046325684,6.694804087583391,7.218803882598877,0.17419177764557237,0.0035918551695397483,3
15.0,6.865489833144423,5.892661094665527,0.17068574556103222,0.003506032084540145,3
0.0,7.032453515729774,4.550143718719482,0.16696368258535088,0.0037220629756813395,4
0.0,7.194297877091133,3.2158236503601074,0.16184436136135893,0.005119321223991946,4
0.0,7.350942898753346,1.9806286096572876,0.1566450216622135,0.005199339699145433,4
0.0,7.5034056275120244,1.3146084547042847,0.15246272875867817,0.004182292903535334,4
0.0,7.652329786856354,2.008241653442383,0.1489241593443298,0.0035385694143483803,4
0.0,7.797985661182494,3.3331377506256104,0.14565587432614002,0.003268285018189765,4
0.0,7.940508305061145,4.819573402404785,0.14252264387865043,0.003133230447489588,4
15.0,8.08001035896497,6.376152992248535,0.13950205390382475,0.0030205899748256826,3
14.999999046325684,8.216606781505227,7.978410720825195,0.13659642254025783,0.0029056313635669184,3
15.0,8.350423439654476,9.617090225219727,0.13381665814924837,0.002779764391009465,3
15.0,8.48159584647337,11.287755012512207,0.13117240681889442,0.0026442513303539528,3
15.0,8.6102289584625,12.987861633300781,0.12863311198912974,0.002539294829764671,3
15.0,8.736357146578797,14.71574878692627,0.12612818811629722,0.0025049238728325207,3
15.0,8.859948034036126,16.47019386291504,0.12359088745732905,0.002537300658968178,2
15.0,8.980950055394826,18.2502384185791,0.12100202135870042,0.0025888660986286283,2
15.0,8.95338984163235,20.040027618408203,0.027560213762477304,0.09344180759622311,2
15.0,8.920293598668707,21.82370376586914,0.03309624296364255,0.005536029201165249,2
15.0,8.98691243480273,23.606538772583008,0.06661883613402253,0.03352259317037998,2
15.0,9.13061051057305,25.417646408081055,0.14369807577032034,0.07707923963629781,2
15.0,9.250909944217467,27.254737854003906,0.12029943364441742,0.023398642125902924,2
15.0,9.364816454230146,29.115333557128906,0.11390651001267926,0.006392923631738157,2
6.0,9.476109184753534,30.998620986938477,0.11129273052338817,0.0026137794892910904,1
6.0,9.585640419868746,32.9041633605957,0.10953123511521135,0.0017614954081768275,1
6.0,9.68771266865593,34.849002838134766,0.10207224878718435,0.007458986328026995,1
6.0,1.1797887323688594,35.67149353027344,8.50792393628707,8.405851687499887,1
6.0,0.0006335160329614262,35.69627380371094,1.179155216335898,7.328768719951173,1
6.0,0.0008380951089304544,35.69606399536133,0.00020457907596902814,1.178950637259929,1
6.0,0.0,35.69606399536133,0.0008380951089304544,0.0006335160329614262,1
6.0,0.0,35.69606399536133,0.0,0.0008380951089304544,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.0,35.69606399536133,0.0,0.0,1
6.0,0.04249105400766482,35.69754409790039,0.04249105400766482,0.04249105400766482,1
6.0,0.043596467482043474,35.699344635009766,0.001105413474378654,0.04138564053328617,1
6.0,0.04783206092578501,35.70182800292969,0.004235593443741532,0.0031301799693628785,1
6.0,0.054256771898781704,35.70542907714844,0.006424710972996697,0.002189117529255165,1
6.0,0.06254485590787316,35.710479736328125,0.008288084009091458,0.0018633730360947606,1
6.0,0.07265187025560753,35.717323303222656,0.010107014347734367,0.0018189303386429087,1
6.0,0.08508553882473899,35.72637176513672,0.012433668569131459,0.0023266542213970925,1
6.0,0.1017845358770339,35.74190139770508,0.01669899705229491,0.0042653284831634525,1
6.0,0.10441076560184187,35.76161193847656,0.0026262297248079713,0.01407276732748694,1
6.0,0.10583082646801019,35.78166580200195,0.0014200608661683184,0.001206168858639653,1
6.0,0.08279408250441707,35.80108642578125,0.02303674396359312,0.021616683097424802,1
6.0,0.06944824357653788,35.814884185791016,0.013345838927879189,0.009690905035713931,1
6.0,0.3076766459903634,35.84865188598633,0.23822840241382548,0.2248825634859463,1
6.0,0.00022890779771781984,35.881126403808594,0.30744773819264554,0.06921933577882006,1
6.0,0.004985481891121251,35.88157272338867,0.004756574093403431,0.3026911640992421,1
6.0,0.0,35.881988525390625,0.004985481891121251,0.00022890779771782017,1
6.0,0.017291414057028404,35.8839225769043,0.017291414057028404,0.012305932165907153,1
6.0,0.00024495792550494397,35.884559631347656,0.01704645613152346,0.000244957925504944,1
6.0,0.0010378305139530067,35.88462829589844,0.0007928725884480627,0.0162535835430754,1
6.0,0.0006226600165546955,35.88469696044922,0.0004151704973983112,0.00037770209104975145,1
6.0,0.002156801168214907,35.885135650634766,0.0015341411516602117,0.0011189706542619005,1
6.0,0.013547617916697731,35.885345458984375,0.011390816748482824,0.009856675596822613,1
6.0,0.05948050694585841,35.890785217285156,0.04593288902916068,0.034542072280677856,1
